Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2014,12,Female,17,Right-Handed,66,25.6,69,2,Car,30,0.407,32,Other,500,400,200,200,1000,1000,25,Left foot,70,74,Ring finger,April,Summer,No,Yes,Pizza/Pasta,Water,Art,6,10,3,Yes - broadband connection,In person,5,13,12,0,7,5,0,0,7,5,30,5,0,0,A lot,Graduate degree,Other,Freeze time,Happy,Relative,"Wildlife, animals"
USA,CA,2019,12,Male,18,Right-Handed,180,26.5,182,2,Car,30,0.094,34,Other,730,726,734,700,740,735,26.3,Right foot,83,90,Ring finger,August,Winter,No,No,Meat,Water,Science,7,9,5,Yes - broadband connection,Internet chat or instant messaging,15,130,18,0.5,7,20,10,38,3,0.5,38,0,0,3,Very little,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Relative,"Wildlife, animals"
USA,CA,2011,12,Male,17,Right-Handed,187.9,33,195.7,1,Car,6,0.47,58,Cycling,800,700,400,,500,700,33,Same length,17,18,Ring finger,April,Winter,No,No,Poultry,Water,Physical education,8,9,4,Yes - broadband connection,In person,6,11,6,1,8,5,10,8,20,2,20,15,7,4,,,,,,,
USA,CA,2019,12,Female,17,Right-Handed,73,18,105.3,2,Car,10,0.329,50,Swimming,1000,882,941,818,160,396,19,Left foot,56,58,Ring finger,February,Spring,No,No,Rice/Noodle dishes,Water,Art,6,9,4,Yes - other,Text messaging,20,25,3,,,,,,,,,,,,Some,,,,,,
USA,CA,2017,11,Male,16,Right-Handed,178,27,160,2,Bus,60,0.363,48,Soccer,200,600,500,400,500,1000,30,Left foot,7,7,Ring finger,November,Winter,No,No,Meat,Juice,Mathematics and statistics,6,4,6,Yes - broadband connection,Cell phone,20,200,37,1,4,1,3,3,6,6,3,1,0,2,Some,Graduate degree,Pop,Freeze time,Happy,Other,"Wildlife, animals"
USA,CA,2018,8,Female,13,Right-Handed,163,22,168,1,Car,33,0.691,65,Dancing,1000,572,1000,620,102,107,23,Left foot,90,90,Same length,August,Summer,No,No,Meat,Water,Other,8,10,6,Yes - broadband connection,Text messaging,50,76,24,50,45,10,5,5,5,84,84,3,1,84,A lot,Some college,Rap/Hip hop,Fly,Healthy,Relative,"Arts, culture, sports"
USA,CA,2012,12,Male,18,Right-Handed,168,29,168,1,Car,25,0.288,35,Other,500,750,600,500,900,900,23,Right foot,95,89,Index finger,March,Fall,Yes,No,Fruit,Juice,English,6,8,4,Yes - broadband connection,In person,4,6,30,2,10,5,3,20,1,1,30,5,0,1,Some,Graduate degree,Jazz,Fly,Happy,Relative,"Arts, culture, sports"
USA,CA,2016,12,Male,17,Right-Handed,182.8,25.7,186,2,Car,7,0.311,37,Football (American),476,487,529,599,508,519,25,Right foot,60,60,Same length,December,Winter,No,No,Meat,Water,Physical education,7,5,2,Yes - broadband connection,Text messaging,60,65,80,2,8,5,12,16,100,100,80,0,0,3,Some,Graduate degree,Rap/Hip hop,Fly,Rich,Relative,Education/Youth development
USA,CA,2018,12,Male,17,Right-Handed,185,30,187,1,Rail (Train/Tram/Subway),20,0.298,51,Other,1000,877,765,909,1000,1000,30,Left foot,90,88,Index finger,August,Spring,No,No,Seafood,Tea,Geography,6.5,8,4,Yes - broadband connection,In person,15,30,7,2,10,3,6,0,4,2,5,1,0,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Musician or singer,International aid
USA,CA,2015,12,Male,17,Right-Handed,176,26,86,3,Bus,55,0.386,49,Baseball/Softball,950,920,800,850,900,1000,26,Same length,70,70,Same length,August,Summer,No,No,Pizza/Pasta,Water,Physical education,6,8,6,Yes - other,Text messaging,55,53,2,1,1,3,4,0,2,2,0,1,6,3,Some,Graduate degree,Rap/Hip hop,Fly,Famous,Relative,Education/Youth development
USA,CA,2016,12,Male,17,Right-Handed,196,28,188,1,Car,12,0.811,49,Baseball/Softball,700,750,800,650,300,1000,29,Left foot,100,100,Same length,September,Fall,No,No,Meat,Water,English,7,9,5,Yes - broadband connection,Text messaging,25,150,20,1,6,7,20,1,10,2,3,12,0,1,Some,Graduate degree,Rap/Hip hop,Fly,Healthy,Sports person,Environment
USA,CA,2018,12,Female,17,Right-Handed,170,24,24,2,Car,13,0.4,13,Tennis,1000,1000,1000,1000,1000,1000,24,Same length,7,8,Ring finger,December,Fall,No,No,Meat,Water,Social studies,8.5,12,3,Yes - broadband connection,Cell phone,30,40,2,,,,,,,,,,,,,,,,,,
USA,CA,2014,8,Male,14,Right-Handed,170,12,172,1,Walk,15,0.296,50,Football (American),1000,650,800,500,0,0,13,Left foot,80,70,Index finger,October,Fall,No,No,No favorite,,Physical education,5,8,2,Yes - broadband connection,In person,1,2,1,1,1,0,1,1,0,0,0,2,0,5,A lot,Some college,Rap/Hip hop,Telepathy,Happy,Other,Environment
USA,CA,2020,12,Female,17,Right-Handed,165.1,24,149.9,2,Car,3,0.456,44,Bowling,807,733,824,674,545,332,23,Right foot,77,77,Same length,April,Spring,No,No,Poultry,Juice,Art,7,10,,,,4,5,,6,10,14,4,,6,6,14,2,,7,Some,Undergraduate degree,Pop,Telepathy,Happy,Other,Health
USA,CA,2020,12,Female,17,Right-Handed,160,23,163,1,Car,15,1.108,37,Swimming,1000,711,1000,733,0,556,26,Left foot,70,70,Same length,May,Winter,Yes,Yes,Fruit,Water,Mathematics and statistics,7,11,2,Yes - broadband connection,Internet chat or instant messaging,95,93,4,7,12,20,0,10,30,30,50,20,0,10,Very little,Graduate degree,Rap/Hip hop,Telepathy,Happy,Religious figure,International aid
USA,CA,2018,7,Male,14,Right-Handed,168,24,160,1,Walk,20,0.35,52,Tennis,600,500,800,750,400,500,21,Right foot,84,91,Ring finger,April,Summer,No,No,Rice/Noodle dishes,Water,History,6,8,4,Yes - broadband connection,In person,0,0,30,0,5,5,5,35,1,0,10,0,0,1,Some,Some college,Other,Freeze time,Happy,Musician or singer,"Arts, culture, sports"
USA,CA,2020,12,Female,17,Right-Handed,170,,,2,Bicycle,7,0.321,40,Running/Jogging,1000,1000,900,800,700,850,,Same length,,,Index finger,August,Summer,No,No,Pizza/Pasta,Tea,Art,8,10,5,Yes - broadband connection,Text messaging,21,22,0,2,6,8,3,2,9,1,15,8,0,2,Some,Graduate degree,Other,Freeze time,Rich,Teacher,International aid
USA,CA,2016,12,Male,17,Right-Handed,72,27,168,2,Car,45,0.481,49,Soccer,1000,800,600,600,800,900,27,Same length,70,80,Ring finger,August,Summer,No,No,Pizza/Pasta,Juice,Science,8,10,5,Yes - broadband connection,Text messaging,15,12,3,3,5,10,10,6,8,10,2,4,0,0,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
USA,CA,2017,12,Female,17,Right-Handed,165,25,166,2,Bus,20,0.377,42,Walking/Hiking,1000,100,100,100,100,10,24,Right foot,80,75,Index finger,February,Winter,No,,Meat,Water,Science,8,6,5,Yes - broadband connection,Cell phone,19,19,5,2,2,12,0,2,1,10,2,0,0,0,Some,Undergraduate degree,Other,Telepathy,Rich,Relative,"Wildlife, animals"
USA,CA,2015,6,Male,10,Right-Handed,170,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,12,Female,16,Right-Handed,171,22,180,2,Car,15,0.761,42,Other,500,750,100,100,950,1000,21,Right foot,70,70,Same length,October,Winter,Yes,No,Desserts,Water,Art,5,8,4,Yes - broadband connection,Text messaging,15,20,7,3,15,30,10,0,6,2,6,20,5,4,A lot,Undergraduate degree,Other,Fly,Happy,Relative,International aid
USA,CA,2018,8,Female,14,Right-Handed,158,22,154.2,1,Car,10,0.53,44,Dancing,492,904,829,615,802,968,8.2,Left foot,70,60.5,Index finger,October,Fall,Yes,Yes,Meat,Water,Other,5,7,4,Yes - other,,10,11,24,2,24,1,5,5,18,18,24,4,0,4,A lot,Graduate degree,Pop,Fly,Happy,Relative,International aid
